thread_name,process_name,upid,utid,cpu,ts,dur,end_state
binder:23019_8,com.google.android.youtube,701,5165,3,261340361110347,232747,R+
DecodeLoop,/vendor/bin/hw/google.hardware.media.c2@2.0-service,468,1056,3,261340361343094,194540,S
binder:23019_8,com.google.android.youtube,701,5165,3,261340361537634,118774,S
swapper,,0,0,3,261340361656408,228231,R
ExoPlayer:Playb,com.google.android.youtube,701,5124,0,261340361710079,176391,S
MediaCodec_loop,com.google.android.youtube,701,5238,3,261340361884639,1046590,S
swapper,,0,0,0,261340361886470,989502,R
binder:477_4,/system/bin/surfaceflinger,313,831,2,261340362685258,255818,S
ExoPlayer:Playb,com.google.android.youtube,701,5124,0,261340362875972,125204,S
swapper,,0,0,3,261340362931229,6705526,R
swapper,,0,0,2,261340362941076,63436,R
swapper,,0,0,0,261340363001176,138264,R
MediaCodec_loop,com.google.android.youtube,701,5238,2,261340363004512,147176,S
ExoPlayer:Playb,com.google.android.youtube,701,5124,0,261340363139440,142619,S
swapper,,0,0,2,261340363151688,124878,R
MediaCodec_loop,com.google.android.youtube,701,5238,2,261340363276566,65674,S
swapper,,0,0,0,261340363282059,56437,R
ExoPlayer:Playb,com.google.android.youtube,701,5124,0,261340363338496,104086,S
swapper,,0,0,2,261340363342240,7390096,R
swapper,,0,0,0,261340363442582,8005371,R
decon0_kthread,decon0_kthread,191,6,1,261340368265783,71330,D
swapper,,0,0,1,261340368337113,2745524,R
perf_mon_update,perf_mon_update_client_task,97,113,3,261340369636755,64087,S
swapper,,0,0,3,261340369700842,881795,R
com.google.usf.,com.google.usf.non_wake_up,531,542,3,261340370582637,177246,S
UsfTransport,/vendor/bin/hw/android.hardware.sensors-service.multihal,464,1029,2,261340370732336,368612,S
swapper,,0,0,3,261340370759883,278443,R
android.hardwar,/vendor/bin/hw/android.hardware.sensors-service.multihal,464,1027,3,261340371038326,335286,S
