thread_name,process_name,upid,utid,cpu,ts,dur,end_state
Output Looper,/vendor/bin/hw/google.hardware.media.c2@2.0-service,468,1054,1,261340426009232,429973,D
swapper,,0,0,0,261340426067175,90657,R
decon0_kthread,decon0_kthread,191,6,6,261340426103918,458333,D
binder:23019_7,com.google.android.youtube,701,14,4,261340426148636,964153,S
Codec2.0 Looper,/vendor/bin/hw/google.hardware.media.c2@2.0-service,468,1053,0,261340426157832,86508,S
surfaceflinger,/system/bin/surfaceflinger,313,10,3,261340426199052,590291,S
DecodeLoop,/vendor/bin/hw/google.hardware.media.c2@2.0-service,468,1056,0,261340426244340,709961,S
dhd_logtrace_th,dhd_logtrace_thread,494,507,1,261340426439205,408365,R+
swapper,,0,0,6,261340426562251,175782,R
swapper,,0,0,2,261340426607824,85205,R
binder:477_4,/system/bin/surfaceflinger,313,831,5,261340426669877,357259,R+
CodecLooper,com.google.android.youtube,701,5239,2,261340426693029,2377279,S
BckgrndExec HP,/system/bin/surfaceflinger,313,1,6,261340426738033,392822,S
logd.writer,/system/bin/logd,295,3,3,261340426789343,102580,S
Output Looper,/vendor/bin/hw/google.hardware.media.c2@2.0-service,468,1054,1,261340426847570,73609,S
swapper,,0,0,3,261340426891923,100260,R
dhd_logtrace_th,dhd_logtrace_thread,494,507,1,261340426921179,33162,S
swapper,,0,0,0,261340426954301,87158,R
swapper,,0,0,1,261340426954341,361898,R
MediaCodec_loop,com.google.android.youtube,701,5238,3,261340426992183,75846,S
ExoPlayer:Playb,com.google.android.youtube,701,5124,7,261340427016882,155233,S
android.hardwar,/vendor/bin/hw/android.hardware.power-service.pixel-libperfmgr,355,12,5,261340427027136,218058,S
binder:23019_2,com.google.android.youtube,701,5077,0,261340427041459,403605,S
swapper,,0,0,3,261340427068029,98145,R
swapper,,0,0,4,261340427112789,11027221,R
binder:23019_8,com.google.android.youtube,701,5165,6,261340427130855,72306,S
MediaCodec_loop,com.google.android.youtube,701,5238,3,261340427166174,153076,S
swapper,,0,0,7,261340427172115,168506592,R
swapper,,0,0,6,261340427203161,29209147,R
binder:477_4,/system/bin/surfaceflinger,313,831,5,261340427245194,78817,S
binder:23019_4,com.google.android.youtube,701,5138,1,261340427316239,115926,S
swapper,,0,0,3,261340427319250,100749,R
swapper,,0,0,5,261340427324011,19692057,R
CodecLooper,com.google.android.youtube,701,5225,3,261340427419999,91349,S
ExoPlayer:Playb,com.google.android.youtube,701,5124,1,261340427432165,324911,S
swapper,,0,0,0,261340427445064,296549,R
DecodeLoop,/vendor/bin/hw/google.hardware.media.c2@2.0-service,468,1056,3,261340427511348,189535,S
binder:23019_2,com.google.android.youtube,701,5077,3,261340427700883,223144,R+
MediaCodec_loop,com.google.android.youtube,701,5238,0,261340427741613,74382,S
swapper,,0,0,1,261340427757076,50293,R
ExoPlayer:Playb,com.google.android.youtube,701,5124,1,261340427807369,204060,S
swapper,,0,0,0,261340427815995,93628,R
MediaCodec_loop,com.google.android.youtube,701,5238,0,261340427909623,60913,S
DecodeLoop,/vendor/bin/hw/google.hardware.media.c2@2.0-service,468,1056,3,261340427924027,297363,S
swapper,,0,0,0,261340427970536,220906,R
swapper,,0,0,1,261340428011429,61809,R
DisplayInfo,/vendor/bin/hw/android.hardware.sensors-service.multihal,464,1034,1,261340428073238,367676,S
MediaCodec_loop,com.google.android.youtube,701,5238,0,261340428191442,50416,S
binder:23019_2,com.google.android.youtube,701,5077,3,261340428221390,88298,S
swapper,,0,0,0,261340428241858,800252,R
swapper,,0,0,3,261340428309688,7139201,R
binder:479_5,/vendor/bin/hw/android.hardware.composer.hwc3-service.pixel,315,4,1,261340428440914,278361,S
swapper,,0,0,1,261340428719275,6380004,R
MediaCodec_loop,com.google.android.youtube,701,5238,0,261340429042110,46224,S
swapper,,0,0,2,261340429070308,637370,R
swapper,,0,0,0,261340429088334,6179280,R
perf_mon_update,perf_mon_update_client_task,97,113,2,261340429707678,92488,S
swapper,,0,0,2,261340429800166,7890666,R
ExoPlayer:Playb,com.google.android.youtube,701,5124,1,261340435099279,169353,S
MediaCodec_loop,com.google.android.youtube,701,5238,0,261340435267614,70191,S
swapper,,0,0,1,261340435268632,65022,R
ExoPlayer:Playb,com.google.android.youtube,701,5124,1,261340435333654,149008,S
swapper,,0,0,0,261340435337805,145548,R
decon0_kthread,decon0_kthread,191,6,3,261340435448889,107910,D
swapper,,0,0,1,261340435482662,1199991,R
MediaCodec_loop,com.google.android.youtube,701,5238,0,261340435483353,378703,R+
swapper,,0,0,3,261340435556799,2343709,R
binder:843_2,/vendor/bin/hw/google.hardware.media.c2@2.0-service,468,481,0,261340435862056,435669,S
MediaCodec_loop,com.google.android.youtube,701,5238,0,261340436297725,412842,S
ExoPlayer:Playb,com.google.android.youtube,701,5124,1,261340436682653,84636,S
swapper,,0,0,0,261340436710567,60669,R
swapper,,0,0,1,261340436767289,69458,R
MediaCodec_loop,com.google.android.youtube,701,5238,0,261340436771236,70760,S
ExoPlayer:Playb,com.google.android.youtube,701,5124,1,261340436836747,122436,S
swapper,,0,0,0,261340436841996,116333,R
MediaCodec_loop,com.google.android.youtube,701,5238,0,261340436958329,209839,R+
swapper,,0,0,1,261340436959183,1087972,R
binder:843_2,/vendor/bin/hw/google.hardware.media.c2@2.0-service,468,481,0,261340437168168,300944,S
MediaCodec_loop,com.google.android.youtube,701,5238,0,261340437469112,640950,S
kworker/u16:9,kworker/u16:9,682,693,2,261340437690832,77067,I
swapper,,0,0,2,261340437767899,176026,R
decon0_kthread,decon0_kthread,191,6,3,261340437900508,182292,S
DecodeLoop,/vendor/bin/hw/google.hardware.media.c2@2.0-service,468,1056,2,261340437943925,266479,R+
TimerDispatch,/system/bin/surfaceflinger,313,821,1,261340438047155,203370,S
swapper,,0,0,3,261340438082800,133830,R
swapper,,0,0,0,261340438110062,222819,R
ExoPlayer:Playb,com.google.android.youtube,701,5124,4,261340438140010,256877,S
bigo_worker_thr,bigo_worker_thread,756,766,2,261340438210404,236694,D
surfaceflinger,/system/bin/surfaceflinger,313,10,3,261340438216630,2594279,S
swapper,,0,0,1,261340438250525,215454,R
MediaCodec_loop,com.google.android.youtube,701,5238,0,261340438332881,151245,S
swapper,,0,0,4,261340438396887,18014241,R
DecodeLoop,/vendor/bin/hw/google.hardware.media.c2@2.0-service,468,1056,2,261340438447098,25269,D
ExoPlayer:Playb,com.google.android.youtube,701,5124,1,261340438465979,155599,S
swapper,,0,0,2,261340438472367,1050374,R
swapper,,0,0,0,261340438484126,3929484,R
swapper,,0,0,1,261340438621578,3709187,R
surfaceflinger,/system/bin/surfaceflinger,313,7,2,261340439522741,124431,S
swapper,,0,0,2,261340439647172,55338,R
BckgrndExec HP,/system/bin/surfaceflinger,313,1,2,261340439702510,86263,S
swapper,,0,0,2,261340439788773,1839518,R
binder:479_3,/vendor/bin/hw/android.hardware.composer.hwc3-service.pixel,315,329,3,261340440810909,2199585,S
perf_mon_update,perf_mon_update_client_task,97,113,2,261340441628291,79794,S
