utid,thread_name,process_name,ts,dur,state,blocked_function
5240,ExoPlayer:Simpl,com.google.android.youtube,261341943967770,70638,R,
5240,ExoPlayer:Simpl,com.google.android.youtube,261341944038408,1616048,Running,
5124,ExoPlayer:Playb,com.google.android.youtube,261341944167924,7029257,S,
866,drm-event-liste,/vendor/bin/hw/android.hardware.composer.hwc3-service.pixel,261341944317623,65715,R,
866,drm-event-liste,/vendor/bin/hw/android.hardware.composer.hwc3-service.pixel,261341944383338,176229,Running,
329,binder:479_3,/vendor/bin/hw/android.hardware.composer.hwc3-service.pixel,261341944444007,53304,S,
329,binder:479_3,/vendor/bin/hw/android.hardware.composer.hwc3-service.pixel,261341944497311,49886,R,
329,binder:479_3,/vendor/bin/hw/android.hardware.composer.hwc3-service.pixel,261341944547197,237020,Running,
866,drm-event-liste,/vendor/bin/hw/android.hardware.composer.hwc3-service.pixel,261341944559567,51087117,S,
1034,DisplayInfo,/vendor/bin/hw/android.hardware.sensors-service.multihal,261341944679887,47364,R,
1034,DisplayInfo,/vendor/bin/hw/android.hardware.sensors-service.multihal,261341944727251,266276,Running,
329,binder:479_3,/vendor/bin/hw/android.hardware.composer.hwc3-service.pixel,261341944784217,11573405,S,
1034,DisplayInfo,/vendor/bin/hw/android.hardware.sensors-service.multihal,261341944993527,49958374,S,
775,traced_perf,/system/bin/traced_perf,261341945391679,82113,R,
775,traced_perf,/system/bin/traced_perf,261341945473792,952392,Running,
5240,ExoPlayer:Simpl,com.google.android.youtube,261341945654456,39652995,S,
6596,stack-unwinding,/system/bin/traced_perf,261341946252153,174031,R,
775,traced_perf,/system/bin/traced_perf,261341946426184,99077678,S,
6596,stack-unwinding,/system/bin/traced_perf,261341946426184,68604,Running,
6596,stack-unwinding,/system/bin/traced_perf,261341946494788,99971313,S,
5144,Lite Thread #5,com.google.android.youtube,261341946930294,74992,R,
5144,Lite Thread #5,com.google.android.youtube,261341947005286,139689,Running,
5144,Lite Thread #5,com.google.android.youtube,261341947144975,-1,S,
6,decon0_kthread,decon0_kthread,261341950595537,53548,R,
6,decon0_kthread,decon0_kthread,261341950649085,102905,Running,
6,decon0_kthread,decon0_kthread,261341950751990,2957642,D,
5124,ExoPlayer:Playb,com.google.android.youtube,261341951197181,57902,R,
5124,ExoPlayer:Playb,com.google.android.youtube,261341951255083,254557,Running,
831,binder:477_4,/system/bin/surfaceflinger,261341951317216,56682,R,
831,binder:477_4,/system/bin/surfaceflinger,261341951373898,202677,Running,
5238,MediaCodec_loop,com.google.android.youtube,261341951419023,812744,R,
822,app,/system/bin/surfaceflinger,261341951442705,65307,R,
5112,RenderThread,com.google.android.youtube,261341951443478,299682,R,
822,app,/system/bin/surfaceflinger,261341951508012,235148,Running,
5124,ExoPlayer:Playb,com.google.android.youtube,261341951509640,767822,S,
831,binder:477_4,/system/bin/surfaceflinger,261341951576575,6363037,S,
822,app,/system/bin/surfaceflinger,261341951743160,2937297,S,
