utid,thread_name,process_name,ts,dur,state,blocked_function
4535,UsbFfs-worker,/apex/com.android.adbd/bin/adbd,261341915902625,64941,Running,
4535,UsbFfs-worker,/apex/com.android.adbd/bin/adbd,261341915967566,36499,S,
4535,UsbFfs-worker,/apex/com.android.adbd/bin/adbd,261341916004065,43132,R,
4535,UsbFfs-worker,/apex/com.android.adbd/bin/adbd,261341916047197,80119,Running,
675,adbd,/apex/com.android.adbd/bin/adbd,261341916091671,781006,S,
691,irq/447-dwc3,irq/447-dwc3,261341916123084,20182,R,
4535,UsbFfs-worker,/apex/com.android.adbd/bin/adbd,261341916127316,81868,S,
691,irq/447-dwc3,irq/447-dwc3,261341916143266,57617,Running,
693,kworker/u16:9,kworker/u16:9,261341916162472,36377,R,
693,kworker/u16:9,kworker/u16:9,261341916198849,65633,Running,
691,irq/447-dwc3,irq/447-dwc3,261341916200883,216105,S,
4535,UsbFfs-worker,/apex/com.android.adbd/bin/adbd,261341916209184,55298,R,
693,kworker/u16:9,kworker/u16:9,261341916264482,189331,I,
4535,UsbFfs-worker,/apex/com.android.adbd/bin/adbd,261341916264482,40324,Running,
4535,UsbFfs-worker,/apex/com.android.adbd/bin/adbd,261341916304806,190674,S,
691,irq/447-dwc3,irq/447-dwc3,261341916416988,22543,R,
691,irq/447-dwc3,irq/447-dwc3,261341916439531,50049,Running,
693,kworker/u16:9,kworker/u16:9,261341916453813,34058,R,
693,kworker/u16:9,kworker/u16:9,261341916487871,58064,Running,
691,irq/447-dwc3,irq/447-dwc3,261341916489580,198567,S,
4535,UsbFfs-worker,/apex/com.android.adbd/bin/adbd,261341916495480,50455,R,
693,kworker/u16:9,kworker/u16:9,261341916545935,185791,I,
4535,UsbFfs-worker,/apex/com.android.adbd/bin/adbd,261341916545935,49195,Running,
4535,UsbFfs-worker,/apex/com.android.adbd/bin/adbd,261341916595130,189860,S,
691,irq/447-dwc3,irq/447-dwc3,261341916688147,19654,R,
691,irq/447-dwc3,irq/447-dwc3,261341916707801,61442,Running,
693,kworker/u16:9,kworker/u16:9,261341916731726,35523,R,
693,kworker/u16:9,kworker/u16:9,261341916767249,80404,Running,
691,irq/447-dwc3,irq/447-dwc3,261341916769243,164728882,S,
4535,UsbFfs-worker,/apex/com.android.adbd/bin/adbd,261341916784990,62663,R,
693,kworker/u16:9,kworker/u16:9,261341916847653,36785929,I,
4535,UsbFfs-worker,/apex/com.android.adbd/bin/adbd,261341916847653,112670,Running,
675,adbd,/apex/com.android.adbd/bin/adbd,261341916872677,37720,R,
675,adbd,/apex/com.android.adbd/bin/adbd,261341916910397,58878,Running,
4535,UsbFfs-worker,/apex/com.android.adbd/bin/adbd,261341916960323,165101319,S,
675,adbd,/apex/com.android.adbd/bin/adbd,261341916969275,165807129,S,
6,decon0_kthread,decon0_kthread,261341917300452,46997,R,
6,decon0_kthread,decon0_kthread,261341917347449,86100,Running,
6,decon0_kthread,decon0_kthread,261341917433549,2918946,D,
113,perf_mon_update,perf_mon_update_client_task,261341917559729,69296,R,
113,perf_mon_update,perf_mon_update_client_task,261341917629025,59977,Running,
113,perf_mon_update,perf_mon_update_client_task,261341917689002,11870280,S,
5124,ExoPlayer:Playb,com.google.android.youtube,261341919897132,52042,R,
5124,ExoPlayer:Playb,com.google.android.youtube,261341919949174,154297,Running,
5238,MediaCodec_loop,com.google.android.youtube,261341920058183,45532,R,
5124,ExoPlayer:Playb,com.google.android.youtube,261341920103471,36906,S,
5238,MediaCodec_loop,com.google.android.youtube,261341920103715,81218,Running,
5124,ExoPlayer:Playb,com.google.android.youtube,261341920140377,40080,R,
5124,ExoPlayer:Playb,com.google.android.youtube,261341920180457,90088,Running,
5238,MediaCodec_loop,com.google.android.youtube,261341920184933,10344360,S,
5124,ExoPlayer:Playb,com.google.android.youtube,261341920270545,10047811,S,
6,decon0_kthread,decon0_kthread,261341920352495,49235,R,
1056,DecodeLoop,/vendor/bin/hw/google.hardware.media.c2@2.0-service,261341920387936,50171,R,
6,decon0_kthread,decon0_kthread,261341920401730,104817,Running,
1056,DecodeLoop,/vendor/bin/hw/google.hardware.media.c2@2.0-service,261341920438107,251383,Running,
821,TimerDispatch,/system/bin/surfaceflinger,261341920463212,41748,R,
821,TimerDispatch,/system/bin/surfaceflinger,261341920504960,130453,Running,
6,decon0_kthread,decon0_kthread,261341920506547,3534221,S,
10,surfaceflinger,/system/bin/surfaceflinger,261341920582597,47567,R,
10,surfaceflinger,/system/bin/surfaceflinger,261341920630164,1803589,Running,
821,TimerDispatch,/system/bin/surfaceflinger,261341920635413,16487183,S,
766,bigo_worker_thr,bigo_worker_thread,261341920643551,43905,R,
766,bigo_worker_thr,bigo_worker_thread,261341920687456,234090,Running,
1056,DecodeLoop,/vendor/bin/hw/google.hardware.media.c2@2.0-service,261341920689490,4226115,D,
766,bigo_worker_thr,bigo_worker_thread,261341920921546,3642049,D,
1,BckgrndExec HP,/system/bin/surfaceflinger,261341921692013,54403,R,
1,BckgrndExec HP,/system/bin/surfaceflinger,261341921746416,53873,Running,
1,BckgrndExec HP,/system/bin/surfaceflinger,261341921800289,3190959,S,
329,binder:479_3,/vendor/bin/hw/android.hardware.composer.hwc3-service.pixel,261341922377722,56031,R,
10,surfaceflinger,/system/bin/surfaceflinger,261341922433753,2049398,S,
329,binder:479_3,/vendor/bin/hw/android.hardware.composer.hwc3-service.pixel,261341922433753,2110433,Running,
6,decon0_kthread,decon0_kthread,261341924040768,55623,R,
6,decon0_kthread,decon0_kthread,261341924096391,377157,Running,
3,logd.writer,/system/bin/logd,261341924312456,788492,R,
8,VrrCtrl_Primary,/vendor/bin/hw/android.hardware.composer.hwc3-service.pixel,261341924352983,54647,R,
8,VrrCtrl_Primary,/vendor/bin/hw/android.hardware.composer.hwc3-service.pixel,261341924407630,68522,Running,
6,decon0_kthread,decon0_kthread,261341924473548,9458292,D,
8,VrrCtrl_Primary,/vendor/bin/hw/android.hardware.composer.hwc3-service.pixel,261341924476152,15793986,S,
10,surfaceflinger,/system/bin/surfaceflinger,261341924483151,61035,R,
329,binder:479_3,/vendor/bin/hw/android.hardware.composer.hwc3-service.pixel,261341924544186,14065429,S,
10,surfaceflinger,/system/bin/surfaceflinger,261341924544186,556762,Running,
766,bigo_worker_thr,bigo_worker_thread,261341924563595,50618,R,
766,bigo_worker_thr,bigo_worker_thread,261341924614213,372600,Running,
12,android.hardwar,/vendor/bin/hw/android.hardware.power-service.pixel-libperfmgr,261341924785559,48503,R,
12,android.hardwar,/vendor/bin/hw/android.hardware.power-service.pixel-libperfmgr,261341924834062,215576,Running,
